movieId,title,genres,tmdbId,overview,poster_path,release_date,vote_average,tmdb_genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,7.971,"['Family', 'Comedy', 'Animation', 'Adventure']"
2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,7.244,"['Adventure', 'Fantasy', 'Family']"
3,Grumpier Old Men (1995),Comedy|Romance,15602.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,6.5,"['Romance', 'Comedy']"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,1995-12-22,6.2,"['Comedy', 'Drama', 'Romance']"
5,Father of the Bride Part II (1995),Comedy,11862.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,1995-12-08,6.3,"['Comedy', 'Family']"
6,Heat (1995),Action|Crime|Thriller,949.0,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,1995-12-15,7.931,"['Crime', 'Drama', 'Action']"
7,Sabrina (1995),Comedy|Romance,11860.0,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",/i8PbLJDPU7vCwwscWD625oHbJy.jpg,1995-12-15,6.214,"['Romance', 'Drama', 'Comedy']"
8,Tom and Huck (1995),Adventure|Children,45325.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,1995-12-22,5.288,"['Family', 'Action', 'Adventure', 'Drama']"
9,Sudden Death (1995),Action,9091.0,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,1995-10-27,6.0,"['Action', 'Drama', 'Thriller', 'Crime']"
10,GoldenEye (1995),Action|Adventure|Thriller,710.0,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-16,6.896,"['Adventure', 'Action', 'Thriller']"
